Actors,Comment,CountryOrRegion,Direction,Last,MovieTypes,OriginalTitle,Rank,Score,ScreenWriter,Title,Url,Votes,Year
伊利亚·伍德 西恩·奥斯汀 伊恩·麦克莱恩 维果·莫腾森 奥兰多·布鲁姆 凯特·布兰切特 肖恩·宾 克里斯托弗·李 雨果·维文 丽芙·泰勒 安迪·瑟金斯 伊安·霍姆 多米尼克·莫纳汉 萨拉·贝克 约翰·瑞斯-戴维斯,传说的开始。,,彼得·杰克逊,178,剧情 动作 奇幻 冒险,The Lord of the Rings: The Fellowship of the Ring,48,8.9,弗兰·威尔士 菲利帕·鲍恩斯 彼得·杰克逊 J·R·R·托尔金,指环王1：魔戒再现,https://movie.douban.com/subject/1291571/,301924,2001
伊利亚·伍德 西恩·奥斯汀 伊恩·麦克莱恩 维果·莫腾森 奥兰多·布鲁姆 克里斯托弗·李 丽芙·泰勒 安迪·瑟金斯 雨果·维文 卡尔·厄本 凯特·布兰切特 多米尼克·莫纳汉 大卫·文翰 比利·博伊德 布拉德·道里夫 伯纳德·希尔 约翰·瑞斯-戴维斯 米兰达·奥图,承前启后的史诗篇章。,,彼得·杰克逊,179,剧情 动作 奇幻 冒险,The Lord of the Rings: The Two Towers,47,8.9,弗兰·威尔士 菲利帕·鲍恩斯 Stephen Sinclair 彼得·杰克逊 J·R·R·托尔金,指环王2：双塔奇兵,https://movie.douban.com/subject/1291572/,270252,2002
罗素·克劳 詹妮弗·康纳利 艾德·哈里斯 克里斯托弗·普卢默 保罗·贝坦尼 亚当·戈德堡 乔什·卢卡斯,爱是一切逻辑和原由。,美国,朗·霍华德,135,剧情 传记,A Beautiful Mind,46,8.9,阿齐瓦·高斯曼 西尔维娅·纳萨尔,美丽心灵,https://movie.douban.com/subject/1306029/,304408,2001
阿尔·帕西诺 罗伯特·杜瓦尔 黛安·基顿 罗伯特·德尼罗 约翰·凯泽尔 塔莉娅·夏尔 李·斯特拉斯伯格 迈克尔·V·格佐 G·D·斯普拉德林 理查德·布赖特 加斯通·莫辛 汤姆·罗斯奎 布鲁诺·柯比 弗兰克·西维罗 弗朗西丝卡·德·萨维奥,优雅的孤独。,美国,弗朗西斯·福特·科波拉,202,剧情 犯罪,The Godfather: Part Ⅱ,45,9.1,弗朗西斯·福特·科波拉 马里奥·普佐,教父2,https://movie.douban.com/subject/1299131/,186478,1974
娜塔莉·波特曼 雨果·维文 斯蒂芬·瑞 斯蒂芬·弗雷 约翰·赫特 蒂姆·皮戈特-史密斯 鲁珀特·格雷夫斯 罗杰·阿拉姆 本·迈尔斯 西妮德·库萨克 娜塔莎·怀特曼 约翰·斯坦丁 埃迪·马森 克里夫·阿什伯恩 Emma Field-Rayner 伊安·布尔费尔德 Mark Phoenix Alister Mazzotti 比莉·库克 盖伊·亨利 科斯马·肖 Megan Gay Roderic Culver Tara Hacking 安迪·莱什利兹 查德·史塔赫斯基 布拉德利·斯蒂夫·福特 Madeleine Rakic-Platt 塞丽娜·贾尔斯 卡斯腾·海斯 伊莫琴·普茨 劳拉·格林伍德 Kyra Meyer 玛丽·萧克莱  理查德·莱恩 Michael Simkins,一张面具背后的理想与革命。,美国   英国   德国,詹姆斯·麦克特格,132,剧情 动作 科幻 惊悚,V for Vendetta,43,8.8,莉莉·沃卓斯基 拉娜·沃卓斯基,V字仇杀队,https://movie.douban.com/subject/1309046/,415674,2005
倍赏千惠子 木村拓哉 美轮明宏 我修院达也 神木隆之介 伊崎充则 大泉洋 大塚明夫 原田大二郎 加藤治子,带着心爱的人在天空飞翔。,日本,宫崎骏,119,爱情 动画 奇幻 冒险,ハウルの動く城,44,8.9,宫崎骏 吉田玲子,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,348612,2004
阿尔·帕西诺 克里斯·奥唐纳 詹姆斯·瑞布霍恩 加布里埃尔·安瓦尔 菲利普·塞默·霍夫曼 Richard Venture 布莱德利·惠特福德 Rochelle Oliver Margaret Eginton Tom Riis Farrell Nicholas Sadler 托德·路易斯 Matt Smith 吉恩·坎菲尔德 弗兰西丝·康罗伊,史上最美的探戈。,美国,马丁·布莱斯,157,剧情,Scent of a Woman,42,8.9,博·古德曼 乔瓦尼·阿尔皮诺,闻香识女人,https://movie.douban.com/subject/1298624/,321818,1992
John Chisholm Mandy-Rae Cruikshank Charles Hambleton Simon Hutchins Kirk Krack 伊莎贝尔·卢卡斯 Richard O'Barry 海顿·潘妮蒂尔 路易·西霍尤斯,海豚的微笑，是世界上最高明的伪装。,,路易·西霍尤斯,92,纪录片,The Cove,41,9.3,马克·蒙雷,海豚湾,https://movie.douban.com/subject/3442220/,181990,2009
杰克·尼科尔森 丹尼·德维托 克里斯托弗·洛伊德 路易丝·弗莱彻 特德·马克兰德 布拉德·道里夫,自由万岁。,美国,米洛斯·福尔曼,133,剧情,One Flew Over the Cuckoo's Nest,40,9.0,劳伦斯·奥邦 博·古德曼,飞越疯人院,https://movie.douban.com/subject/1292224/,278185,1975
乌尔里希·穆埃 马蒂娜·格德克 塞巴斯蒂安·科赫 乌尔里希·图库尔 托马斯·蒂梅,别样人生。,德国,弗洛里安·亨克尔·冯·多纳斯马尔克,137,剧情 悬疑,Das Leben der Anderen,39,9.1,弗洛里安·亨克尔·冯·多纳斯马尔克,窃听风暴,https://movie.douban.com/subject/1900841/,223186,2006
